year,new_hpv_screens,new_poc_hpv_screens,new_ave_screens,new_via_screens,new_thermal_ablations,new_leeps,new_cancer_treatments,new_cancers,new_cancer_deaths,new_other_deaths,av_age_cancers,av_age_cancer_deaths,av_age_other_deaths,location,seed,primary,triage,precin,cin1,cin2,cin3,cancerous,ltfu,scen_label
2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25011.384887695312,14469.031982421875,3263930.5,47.94677734375,56.348670959472656,,nigeria,0,,,,,,,,,No screening
2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24738.802368164062,14262.752685546875,3309238.0,47.37047576904297,55.86831283569336,,nigeria,0,,,,,,,,,No screening
2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26035.415405273438,15102.603759765625,3478151.5,47.93861770629883,55.76848220825195,,nigeria,0,,,,,,,,,No screening
2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26705.823608398438,15235.212646484375,3525301.0,48.28571319580078,56.39179229736328,,nigeria,0,,,,,,,,,No screening
2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27214.1552734375,15316.25,3485393.25,48.464908599853516,56.31215286254883,,nigeria,0,,,,,,,,,No screening
2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27810.892211914062,16524.45751953125,3617817.25,48.3053092956543,56.00925827026367,,nigeria,0,,,,,,,,,No screening
2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27774.05712890625,16634.96435546875,3724699.75,48.069400787353516,56.74701690673828,,nigeria,0,,,,,,,,,No screening
2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28724.416259765625,17290.6376953125,3691024.5,48.503910064697266,56.90579605102539,,nigeria,0,,,,,,,,,No screening
2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29402.191772460938,17548.4873046875,3758728.25,48.489837646484375,56.45041275024414,,nigeria,0,,,,,,,,,No screening
2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30212.5751953125,17784.23486328125,3777035.75,48.376792907714844,56.49331283569336,,nigeria,0,,,,,,,,,No screening
2059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31140.83251953125,18469.3779296875,3882857.0,48.65909194946289,56.092472076416016,,nigeria,0,,,,,,,,,No screening
2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32710.029174804688,19147.1533203125,3979720.0,48.93247985839844,56.78773498535156,,nigeria,0,,,,,,,,,No screening
2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10498.151458740234,5657.9510498046875,2201046.0,46.535125732421875,55.90837860107422,,nigeria,1,,,,,,,,,No screening
2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12030.513061523438,6070.51025390625,2306543.25,46.167091369628906,54.12089157104492,,nigeria,1,,,,,,,,,No screening
2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11691.625732421875,6578.8419189453125,2171548.0,46.63697814941406,55.59851837158203,,nigeria,1,,,,,,,,,No screening
2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12074.716247558594,6004.2061767578125,2235457.75,47.199432373046875,55.88756561279297,,nigeria,1,,,,,,,,,No screening
2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12450.439270019531,6586.208984375,2172402.5,47.1846809387207,54.73617172241211,,nigeria,1,,,,,,,,,No screening
2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12789.326721191406,7079.8062744140625,2308561.75,47.14799499511719,55.041175842285156,,nigeria,1,,,,,,,,,No screening
2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13032.441955566406,7101.9073486328125,2317896.0,47.26773452758789,53.73173522949219,,nigeria,1,,,,,,,,,No screening
2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13481.836608886719,7205.0472412109375,2352646.5,47.0642204284668,53.027000427246094,,nigeria,1,,,,,,,,,No screening
2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13864.927185058594,7035.6036376953125,2466571.75,48.071868896484375,55.826629638671875,,nigeria,1,,,,,,,,,No screening
2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15036.299682617188,7845.9864501953125,2465820.5,47.01339340209961,55.95790481567383,,nigeria,1,,,,,,,,,No screening
2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.792053222656,8280.646240234375,2417919.5,46.2725944519043,55.296390533447266,,nigeria,1,,,,,,,,,No screening
2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15574.10009765625,8199.60791015625,2564473.5,47.680152893066406,54.58680725097656,,nigeria,1,,,,,,,,,No screening
2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15456.22509765625,8833.1806640625,2532338.25,46.372982025146484,56.75528335571289,,nigeria,1,,,,,,,,,No screening
2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16546.559448242188,8892.11767578125,2617634.75,48.25045394897461,56.10887145996094,,nigeria,1,,,,,,,,,No screening
2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17069.624938964844,8590.065673828125,2662029.0,46.63288116455078,55.08842468261719,,nigeria,1,,,,,,,,,No screening
2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17961.047241210938,9754.07177734375,2670656.0,47.4293098449707,55.374263763427734,,nigeria,1,,,,,,,,,No screening
2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17614.79278564453,9245.739501953125,2739914.25,47.721248626708984,55.47460174560547,,nigeria,1,,,,,,,,,No screening
